danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,labels
0.51,0.715,9,-6.586,1,0.04,0.0542,0.497,0.105,0.509,97.968,194627,4,1
0.392,0.382,4,-9.544,1,0.0346,0.895,0.00625,0.136,0.148,169.819,202359,4,1
0.705,0.743,6,-5.239,1,0.0536,0.0294,0.0,0.101,0.443,119.989,174547,4,1
0.562,0.265,10,-10.173,1,0.0278,0.907,0.0211,0.173,0.244,109.86,199018,4,1
0.699,0.654,11,-6.264,1,0.0383,0.054,7.08e-06,0.095,0.319,100.037,192313,4,1
0.537,0.421,5,-8.72,1,0.0285,0.827,0.0,0.138,0.524,98.224,184061,4,1
0.706,0.629,1,-11.408,1,0.0444,0.159,0.34,0.0951,0.471,123.044,186341,4,1
0.661,0.872,6,-5.203,0,0.0369,0.0154,0.000166,0.235,0.936,140.018,180000,4,1
0.326,0.586,6,-7.966,1,0.0605,0.531,0.0,0.0787,0.295,189.978,262309,4,1
0.647,0.676,8,-6.025,1,0.0862,0.0909,0.0227,0.0947,0.41,164.51,193767,3,1
0.776,0.53,6,-7.486,1,0.219,0.649,0.0,0.35,0.695,80.532,155031,4,1
0.784,0.689,4,-8.216,0,0.0385,0.759,0.00536,0.143,0.332,124.025,205716,4,1
0.531,0.207,10,-11.236,1,0.0299,0.932,0.0149,0.17,0.42,88.195,205843,4,1
0.739,0.701,10,-2.865,0,0.0723,0.251,1.47e-06,0.103,0.506,120.056,155018,4,1
0.794,0.47,8,-7.311,1,0.0361,0.00945,2.79e-05,0.112,0.618,120.017,240295,4,1
0.791,0.293,10,-12.419,0,0.0368,0.253,0.156,0.0936,0.159,99.995,187200,4,1
0.726,0.544,2,-4.44,1,0.229,0.44,3.56e-05,0.124,0.613,178.117,204827,4,1
0.566,0.883,10,-7.117,1,0.0374,0.0115,0.00103,0.317,0.483,156.936,245373,4,1
0.509,0.312,7,-11.453,1,0.0312,0.0987,0.0,0.344,0.202,116.092,174086,4,1
0.609,0.667,0,-7.55,1,0.0544,0.144,0.000735,0.102,0.546,160.05,156000,4,1
0.801,0.402,11,-13.551,1,0.0926,0.797,0.382,0.0973,0.646,75.005,193413,4,1
0.643,0.787,4,-4.586,1,0.027,0.104,0.0,0.243,0.659,111.933,203114,4,1
0.678,0.181,11,-12.495,0,0.0397,0.92,0.0,0.435,0.546,93.983,72133,4,1
0.775,0.831,1,-5.784,1,0.154,0.0346,0.000259,0.0806,0.295,97.93,180857,4,1
0.555,0.744,7,-5.278,1,0.0411,0.0489,0.0,0.0924,0.664,90.055,184667,4,1
0.696,0.445,1,-9.114,1,0.0316,0.463,1.72e-05,0.0918,0.591,94.984,240520,4,1
0.504,0.347,1,-7.741,1,0.049,0.726,0.0,0.33,0.441,113.346,234353,4,1
0.714,0.518,3,-11.252,0,0.0257,0.598,0.000545,0.0986,0.649,108.017,206476,4,1
