danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0.525,0.488,0,-6.909,1,0.038,0.191,5.14e-05,0.135,0.253,84.999,194920,4
0.671,0.418,6,-14.124,0,0.0371,0.187,0.215,0.132,0.607,91.866,222800,4
0.442,0.644,10,-5.787,0,0.0378,0.347,1.73e-06,0.128,0.34,117.379,216573,4
0.638,0.855,7,-4.86,1,0.0264,0.00757,0.0,0.245,0.731,127.986,178206,4
0.722,0.709,9,-4.95,1,0.0273,0.0633,0.0,0.0804,0.604,81.012,171292,4
0.626,0.583,0,-7.346,0,0.0318,0.276,0.0,0.141,0.428,87.977,228145,4
0.384,0.854,2,-4.727,1,0.052,0.00953,5.23e-06,0.159,0.29,150.73,178196,4
0.621,0.779,8,-3.777,1,0.0361,0.216,8.62e-06,0.165,0.399,172.037,181621,4
0.634,0.761,5,-4.752,1,0.0472,0.00537,0.0,0.549,0.785,129.963,168454,4
0.756,0.672,0,-6.743,1,0.0522,0.464,3.37e-06,0.108,0.739,114.935,171783,4
0.566,0.734,6,-5.631,1,0.0349,0.523,0.0,0.124,0.619,171.829,166040,4
0.366,0.492,11,-7.9,1,0.0324,0.0899,0.000994,0.132,0.349,197.768,220558,3
0.52,0.8,1,-4.256,1,0.041,0.00801,0.0,0.303,0.538,93.155,192693,4
0.448,0.632,5,-4.083,1,0.0297,0.134,0.0,0.317,0.418,76.968,182086,4
0.489,0.755,6,-4.471,1,0.045,0.0124,0.0,0.28,0.384,113.05,153907,4
0.661,0.707,7,-7.19,1,0.0285,0.628,1.85e-06,0.0852,0.385,105.917,172853,4
0.587,0.803,0,-4.243,1,0.0427,0.00389,0.0,0.198,0.62,114.08,155173,4
0.509,0.793,1,-3.229,1,0.0376,0.25,0.0,0.236,0.767,165.964,227892,4
0.636,0.536,6,-6.296,1,0.0481,0.049,0.0,0.0912,0.505,107.409,176023,3
0.617,0.88,1,-5.215,1,0.0301,0.00746,0.00298,0.109,0.305,104.02,233573,4
0.489,0.608,5,-5.329,1,0.0274,0.0143,0.0,0.193,0.352,148.117,222466,3
0.674,0.561,4,-6.457,0,0.0274,0.487,0.0,0.116,0.383,138.02,193400,4
0.634,0.585,0,-5.93,1,0.0276,0.486,0.0,0.0926,0.19,111.012,211541,4
0.479,0.926,10,-2.014,1,0.0495,0.0686,0.0,0.0983,0.564,140.154,165836,4
0.431,0.837,9,-5.067,1,0.0432,0.259,0.0,0.0879,0.648,170.041,179294,4
0.729,0.721,2,-6.558,1,0.0726,0.573,0.0,0.148,0.387,109.997,233457,4
0.444,0.727,7,-5.177,1,0.0394,0.0361,0.0,0.114,0.519,79.912,183920,4
0.406,0.843,10,-5.124,0,0.0526,0.0889,0.0,0.158,0.271,150.054,186973,4
0.487,0.658,5,-9.973,1,0.0296,0.00877,0.00777,0.1,0.282,142.18,210950,4
0.619,0.564,4,-6.517,1,0.0302,0.673,0.0,0.184,0.419,129.944,220146,4
0.511,0.454,8,-9.24,1,0.0257,0.217,0.000704,0.129,0.548,92.089,228347,4
0.484,0.753,2,-5.23,1,0.0503,0.11,5.95e-06,0.193,0.281,80.995,216673,4
0.611,0.629,0,-5.928,0,0.0368,0.375,0.0,0.0942,0.553,142.986,200893,4
0.538,0.842,9,-5.309,1,0.0816,0.0223,0.000341,0.257,0.505,125.989,195358,4
0.45,0.812,10,-4.338,1,0.0419,0.0185,2.74e-06,0.0858,0.591,151.872,201807,4
0.473,0.807,5,-3.654,1,0.0334,0.00799,1.27e-06,0.0999,0.353,139.963,187333,4
0.503,0.864,2,-5.376,0,0.0637,0.00227,0.0,0.948,0.443,107.18,178440,4
0.663,0.496,7,-8.479,1,0.0393,0.0282,0.0,0.115,0.536,140.13,189048,4
0.369,0.688,6,-4.171,1,0.0358,0.159,0.0,0.353,0.403,170.147,152213,4
0.631,0.513,7,-6.426,1,0.025,0.546,0.0,0.125,0.559,139.862,197067,4
