name,artist
Every Little Thing I Say I Do,Dayglow
Capricorn,Vampire Weekend
On The Game,The Black Keys
Mustang,Kings of Leon
Summertime Voodoo - Edit,Highly Suspect
High In Low Places,Beach Weather
What're We Doing Here,ALEXSUCKS
Little Chaos,Orla Gartland
Organized Chaos,MisterWives
Stargazing,Myles Smith
Stress Relief,late night drive home
Long Dark Night,Judah & the Lion
Boom Boom Back,Hinds
Shakes,Luke Hemmings
Shadow in the Sun,Joe P
America In Your 20's,Winnetka Bowling League
Can You Feel It?,BoyWithUke
Dead To Me,Palaye Royale
Leave Her,d4vd
Overcompensate (edit),Twenty One Pilots
Hate Myself,Letdown.
Everybody Knows I'm High,SHAED
Want Me,Stephen Dawes
No Strings,X Ambassadors
Heartless,Nathaniel Rateliff & The Night Sweats
Don't Forget Me,Maggie Rogers
run!,WILLOW
Sick of Being Young,Krooked Kings
Call Me Up,daydreamers
Weak In Your Light,Nation of Language
Like I Say (I runaway),Nilüfer Yanya
Good Old Days,The Revivalists
April,Local Natives
REAL GANGSTA LOVE,Trueno
Gata Only,FloyyMenor
Santa,Rvssian
SORRY 4 THAT MUCH,Feid
BADGYAL,SAIKO
Madonna,Natanael Cano
APAGA EL CEL,FloyyMenor
HOLA PERDIDA REMIX,Luck Ra
Maquillaje - Remix,Renn
Brickell,Feid
SI NO ES CONTIGO,Cris Mj
Touching The Sky,Rauw Alejandro
Volver Al Futuro,Oscar Maydon
Si No Quieres No,Luis R Conriquez
Elvira,Oscar Maydon
El Beneficio De La Duda,Grupo Firme
LUNA,Feid
ADIVINO,Myke Towers
Entre las de 20,Bizarrap
Despídase bien,Carin Leon
offline,Young Miko
WYA REMIX RED,J Abdiel
LA NENA,Lyanno
Un Desperdicio,Rels B
GATITAS SANDUNGUERAS VOL.1,Alvaro Diaz
"Ride Or Die, Pt. 2 (with Villano Antillano & Tokischa)",Sevdaliza
Gitana (feat. Bryartz),Pablo Chill-E
Torai,Grupo Marca Registrada
BBY BOO - REMIX,iZaak
PUEBLO DE MEDALLO,Ryan Castro
Que Se Cuide,Luis R Conriquez
Ya Te Superé,Xavi
LA DURANGO,Peso Pluma
HUMO,Chencho Corleone
Una Vida Pasada,Camilo
Corazón de Piedra,Xavi
LA FALDA,Myke Towers
LA RANGER (feat. Myke Towers),The Academy: Segunda Misión
POR QUÉ SERÁ,Grupo Frontera
Perdonarte ¿Para Qué?,Los Ángeles Azules
TÚ NAME,Fuerza Regida
La Guerita,Grupo Marca Registrada
Tengo Un Plan,Key-Key
Dime,El Malilla
CONTIGO (with Tiësto),KAROL G
X'CLUSIVO - REMIX,Gonzy
BYAK,Alvaro Diaz
FIRST LOVE,Oscar Ortiz
IMAN (Two Of Us),Maria Becerra
Piel,Tiago PZK
Back To One,Peggy Gou
"She’s Gone, Dance On",Disclosure
girl$,Dom Dolla
Go Back (feat. Julia Church),John Summit
Push,Skrillex
places to be,Fred again..
Without You (with HAYLA),Kygo
Lioness,Swedish House Mafia
Addicted,Zerb
Wherever You Are,Martin Garrix
My City,Tiësto
Last Night - Anyma x Layton Giordani Remix,Loofy
Chase It (Mmm Da Da Da),Bebe Rexha
Neverender,Justice
Drip Sweat (feat. Channel Tres),KAYTRANADA
Summertime Blues (feat. Nathan Nicholson),Chris Lake
Fortnight (feat. Post Malone) - BLOND:ISH Remix,Taylor Swift
Love Bites (Feat. Tove Lo & SG Lewis),Nelly Furtado
Baddy On The Floor,Jamie xx
Roar,Charlotte de Witte
Kisses (feat. bbyclose),BL3SS
Right Here,Becky Hill
On Again,Mau P
How You Feel (Ft. Leven Kali),ANOTR
Honey Boy (feat. Nile Rodgers & Shenseea),Purple Disco Machine
Set My Heart On Fire (I'm Alive x And The Beat Goes On),Majestic
Stumblin' In,CYRIL
I Don't Wanna Wait,David Guetta
Throw Some Ass,Sofi Tukker
Ride Or Die,Aluna
Mountains,Jonas Blue
Pedro,Jaxomy
These Words,Badger
Weak,Vintage Culture
Move,Adam Port
In My Bones,Lost Frequencies
It's Not Right But It's Okay,Mr. Belt & Wezol
6 In the Morning (feat. Nate Dogg),Flex (UK)
Mind Still (feat. blythe),Sonny Fodera
MAGIC (feat. babyidontlikeyou),Gryffin
FWTDJ (All Night Long),Hannah Laing
Monster,Don Diablo
LET'S GET FKD UP,Alok
Honey,Caribou
Kimbara,Barry Can't Swim
Sierra,Argy
Von dutch,Charli xcx
Vent,NOIT
TAKA,Ahadadream
All That You Need (feat. Caroline Byrne),Gorgon City
"Patadas de Ahogado / LATÍN MAFIA, HUMBE - Rework",HUGEL
Somebody (2024),Gotye
mr useless,Shygirl
A Little Closer,Diffrent
saving flowers,salute
Heaven,Sara Landry
Satellite,Dimension
CUT ME OUT,Rezz
"Tshwala Bam (feat. S.N.E, EeQue) - Radio Edit",TitoM
Karibu,WITH U
We Groovin (with Jazzy),Jamie Jones
Wild,James Hype
